"编号";"位号";"封装";"数量";"名称";"供应商编号";
1;"S20,S19,S47,S4,S7,S12,S3,S25,S1,S9,S44,S23,S16,S24,S31,S33,S34,S46,S50,S22,S41,S63-2,S27,S8,S37,S21,S11,S52,S30,S38,S35,S39,S48,S18,S45,S13,S26,S5,S17,S32,S36,S49,S53,S10,S56,S42,S14-2,S54,S51,S58-2,S6,S2,S40";"SW_Hotswap_Kailh_MX_Plated_1.00u";53;"MX1A";;;
2;"S57-2,S15,S62-2,S64-2,S59-2";"SW_Hotswap_Kailh_MX_Plated_1.50u";5;"MX1A";;;
3;"S62,S57,S61,S58,S63,S59,S43,S29-2,S64";"SW_Hotswap_Kailh_MX_Plated_1.25u";9;"MX1A";;;
4;"S14";"SW_Hotswap_Kailh_MX_Plated_2.00u";1;"MX1A";;;
5;"S60-2";"SW_Hotswap_Kailh_MX_Plated_7.00u";1;"MX1A";;;
6;"S55,S29";"SW_Hotswap_Kailh_MX_Plated_1.75u";2;"MX1A";;;
7;"S28-2";"SW_Hotswap_Kailh_MX_Plated_2.25u_90deg";1;"MX1A";;;
8;"S55-2";"SW_Hotswap_Kailh_MX_Plated_2.75u";1;"MX1A";;;
9;"S60";"SW_Hotswap_Kailh_MX_Plated_6.25u";1;"MX1A";;;
10;"S41-2";"SW_Hotswap_Kailh_MX_Plated_1.50u_90deg";1;"MX1A";;;
11;"S28";"SW_Hotswap_Kailh_MX_Plated_ISOEnter_90deg";1;"MX1A";;;
12;"S43-2";"SW_Hotswap_Kailh_MX_Plated_2.25u";1;"MX1A";;;
13;"D1,D46,D32,D34,D41,D56,D50,D51,D5,D38,D52,D60,D48,D20,D42,D55,D49,D64,D27,D3,D4,D33,D17,D28,D63,D31,D29,D40,D47,D9,D45,D54,D7,D53,D24,D39,D21,D10,D2,D25,D44,D14,D57,D16,D13,D43,D15,D6,D59,D26,D18,D62,D23,D36,D58,D37,D12,D35,D30,D22,D61,D11,D19,D8";"D_SOD-123";64;"DIODE";;;
14;"R1,R5";"R_0402_1005Metric";2;"1k";;;
15;"C8,C10,C4,C1";"C_0402_1005Metric";4;"1u";;;
16;"R4,R3";"R_0402_1005Metric";2;"27.4";;;
17;"R6,R7";"R_0402_1005Metric";2;"5K1";;;
18;"C9,C7,C12,C11,C16,C13,C6,C14,C15,C5";"C_0402_1005Metric";10;"100n";;;
19;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"Crystal_GND24";;;
20;"U2";"Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm";1;"W25Q128JVS";;;
21;"C2,C3";"C_0402_1005Metric";2;"20p";;;
22;"U3";"QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm";1;"RP2040";;;
23;"J2";"PinHeader_1x02_P1.27mm_Vertical";1;"Conn_01x02";;;
24;"U4";"SOT-23-3";1;"XC6206PxxxMR";;;
25;"J1";"USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal";1;"USB_C_Receptacle_USB2.0_16P";;;
